event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,1,85.35,18.48,51.8,15.07,1,10op,1.05,7.7,7.6,2,7op,0.88,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,83.65,16.95,50.1,16.6,1,10op,1.05,9.0,7.8,2,7op,0.88,8.9,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 2,CAVET Benjamin,2530514,3,81.82,17.25,48.6,15.97,1,bF,0.88,8.1,8.3,2,10op,1.05,8.2,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,80.15,18.12,46.4,15.63,1,7oG,1.11,7.6,7.4,2,bG,0.92,8.0,7.9
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,77.35,19.96,43.7,13.69,1,bG,0.92,7.8,7.9,2,bp,0.81,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,3,77.17,17.81,46.0,13.36,1,bp,0.81,7.8,7.8,2,7op,0.98,7.2,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 2,KOLMAKOV Pavel,2528846,2,78.72,16.46,46.5,15.76,1,10op,1.05,7.7,8.1,2,7oG,1.01,7.0,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,3,78.42,17.27,46.4,14.75,1,10op,1.05,7.3,7.4,2,7op,0.88,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,1,77.96,18.34,47.2,12.42,1,bp,0.81,7.9,7.8,2,7op,0.98,6.1,6.3
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,76.3,18.94,43.9,13.46,1,bG,0.92,8.2,8.3,2,7op,0.98,6.0,6.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-03-17,ALMATY (KAZ),Women's Moguls,Results Final 2,JOHNSON Tess,2532270,3,73.35,16.52,43.0,13.83,1,7op,0.98,6.3,5.8,2,bG,0.92,8.7,8.5
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,82.68,17.75,47.5,17.43,1,bdF,1.05,8.4,8.4,2,10op,1.05,8.2,8.2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,2,79.88,17.98,45.0,16.9,1,bdF,1.05,8.6,8.3,2,10op,1.05,7.6,7.7
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,3,79.08,18.45,44.1,16.53,1,bdF,1.05,8.2,8.3,2,10op,1.05,7.5,7.5
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,84.18,19.65,46.7,17.83,1,7oG,1.11,8.4,8.5,2,bG,0.92,9.2,9.2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,LEMLEY Elizabeth,2537762,2,79.68,18.72,45.6,15.36,1,bp,0.81,8.3,8.6,2,7op,0.98,8.6,8.8
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,76.35,18.17,43.0,15.18,1,bF,0.98,7.5,7.2,2,7op,0.98,8.1,8.2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,85.02,16.18,51.3,17.54,1,10op,1.05,8.2,8.1,2,7oG,1.01,8.8,9.0
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,PAGE Nick,2533462,2,79.55,18.72,46.8,14.03,1,10op,1.05,6.4,6.0,2,7oG,1.01,7.4,7.5
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,79.53,17.41,46.7,15.42,1,10oG,1.2,7.2,7.4,2,10op,1.05,6.3,6.4
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.74,15.93,47.1,16.71,1,7oG,1.11,7.7,8.0,2,bG,0.92,9.1,8.3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,YANAGIMOTO Rino,2532040,2,72.42,16.08,43.9,12.44,1,bp,0.81,7.6,7.9,2,7op,0.98,6.2,6.4
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,72.16,16.09,42.6,13.47,1,bF,0.98,6.4,6.2,2,7op,0.98,7.5,7.4
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,86.55,16.85,52.9,16.8,1,10op,1.05,7.5,7.5,2,7oG,1.01,8.8,8.9
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,VAILLANCOURT Elliot,2532513,2,77.44,17.24,45.1,15.1,1,7oG,1.01,8.2,8.3,2,7op,0.88,7.7,7.7
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,3,77.23,17.93,45.6,13.7,1,bdF,1.05,6.0,6.0,2,10op,1.05,7.0,7.1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.98,18.54,46.7,14.74,1,7oG,1.11,8.3,8.2,2,bp,0.81,7.1,6.7
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,75.64,19.56,44.7,11.38,1,bG,0.92,7.7,7.9,2,7op,0.98,4.2,4.4
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,74.82,17.38,45.1,12.34,1,bF,0.98,7.0,7.0,2,7op,0.98,5.4,5.8
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,77.11,15.08,47.5,14.53,1,bdF,1.05,6.3,6.5,2,10op,1.05,7.4,7.5
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,2,75.85,15.11,46.7,14.04,1,bF,0.88,8.5,8.5,2,10op,1.05,6.2,6.3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,3,75.21,15.13,46.3,13.78,1,bF,0.88,8.5,8.5,2,10op,1.05,6.0,6.0
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.08,16.53,46.5,16.05,1,7oG,1.11,8.0,8.1,2,bp,0.81,8.9,8.7
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,YANAGIMOTO Rino,2532040,2,77.1,15.64,44.5,16.96,1,7oG,1.11,8.5,8.4,2,7op,0.98,7.7,7.8
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,SOAR Hannah,2531373,3,71.18,14.96,43.3,12.92,1,bp,0.81,7.4,7.6,2,bG,0.92,7.5,7.4
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,1,84.92,18.23,51.4,15.29,1,bF,0.88,8.2,8.2,2,10op,1.05,7.7,7.7
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 2,VAILLANCOURT Elliot,2532513,2,82.37,17.7,49.1,15.57,1,10op,1.05,8.2,8.1,2,7oG,1.01,7.0,6.9
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,77.7,18.06,47.1,12.54,1,10op,1.05,8.4,8.2,2,7oG,1.01,3.8,3.8
