event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,77.85,17.82,45.1,14.93,1,7op,0.98,7.9,7.0,2,bG,0.92,8.1,8.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-31,VAL ST. COME (CAN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,77.71,15.12,45.7,16.89,1,7oG,1.11,8.1,8.3,2,7op,0.98,8.0,7.9
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,86.24,16.72,52.8,16.72,1,bdF,1.05,8.1,8.2,2,14op,1.22,6.6,6.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Men's Moguls,Results Final 2,KOLMAKOV Pavel,2528846,2,84.95,17.33,51.4,16.22,1,bdF,1.05,8.3,8.1,2,bG,0.82,9.4,9.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Men's Moguls,Results Final 2,CAVET Benjamin,2530514,3,83.82,16.27,51.3,16.25,1,bF,0.88,8.4,8.5,2,10op,1.05,8.5,8.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,1,80.75,16.4,49.0,15.35,1,7op,0.98,7.6,7.7,2,bG,0.92,8.6,8.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,79.63,17.15,47.3,15.18,1,7oG,1.11,6.9,6.8,2,bG,0.92,8.4,8.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-06,DEER VALLEY (USA),Women's Moguls,Results Final 2,SCHWINGHAMMER,2533204,3,75.22,15.87,46.3,13.05,1,7op,0.98,7.5,7.4,2,bp,0.81,7.1,7.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,86.57,16.43,52.5,17.64,1,bdF,1.05,8.5,8.5,2,14op,1.22,7.1,7.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,85.91,16.83,53.2,15.88,1,10op,1.05,8.3,8.4,2,7op,0.88,8.1,8.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,83.79,16.97,50.6,16.22,1,10oG,1.2,7.7,7.6,2,7op,0.88,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,1,82.19,18.18,49.4,14.61,1,7op,0.98,7.4,7.4,2,bG,0.92,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,79.23,15.85,48.5,14.88,1,7oG,1.11,7.3,7.0,2,bG,0.92,7.5,7.6
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,78.43,16.01,47.1,15.32,1,7oG,1.11,7.6,7.4,2,7op,0.98,7.1,7.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,85.37,17.64,50.3,17.43,1,bdF,1.05,7.6,7.5,2,14op,1.22,7.8,7.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,82.9,17.6,49.4,15.9,1,bdF,1.05,6.9,6.8,2,10op,1.05,8.4,8.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Final 2,MICKEL Charlie,2537180,3,80.14,16.51,48.1,15.53,1,7oG,1.01,7.6,7.9,2,10op,1.05,7.4,7.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,1,81.21,18.58,47.5,15.13,1,7op,0.98,7.9,7.6,2,bG,0.92,8.1,8.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,77.07,17.15,46.3,13.62,1,7oG,1.11,6.3,5.9,2,7op,0.98,7.3,6.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Final 2,JOHNSON Tess,2532270,3,74.94,15.28,44.1,15.56,1,7oG,1.11,7.2,7.1,2,bG,0.92,8.3,8.3
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,83.48,17.39,47.6,18.49,1,bdF,1.05,8.2,8.1,2,14op,1.22,8.3,8.1
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,2,82.47,17.64,47.8,17.03,1,bdF,1.05,8.1,8.2,2,7oG,1.01,8.5,8.3
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Men's Moguls,Results Final 2,PAGE Nick,2533462,3,79.62,16.61,47.3,15.71,1,7op,0.88,8.1,7.6,2,10op,1.05,8.9,7.9
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Women's Moguls,Results Final 2,JOHNSON Tess,2532270,1,78.86,16.69,46.5,15.67,1,7oG,1.11,7.2,7.3,2,bG,0.92,8.4,8.2
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,77.43,16.87,47.2,13.36,1,7op,0.98,7.4,7.2,2,7oG,1.11,5.7,5.5
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,74.35,17.78,41.1,15.47,1,7oG,1.11,7.3,7.7,2,7op,0.98,7.3,7.3
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.89,17.46,47.6,14.83,1,7oG,1.11,6.9,6.5,2,bG,0.92,8.1,8.0
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,2,78.64,17.23,46.9,14.51,1,7oG,1.11,7.1,7.4,2,7op,0.98,6.5,6.7
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,3,78.08,18.69,44.8,14.59,1,7oG,1.11,6.4,6.9,2,bG,0.92,7.8,7.9
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-09,VAL ST. COME (CAN),Men's Moguls,Results Final,KINGSBURY Mikael,2484937,1,85.83,17.54,51.6,16.69,1,bdF,1.05,7.9,7.9,2,10op,1.05,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-09,VAL ST. COME (CAN),Men's Moguls,Results Final,GRAHAM Matt,2441426,2,83.5,17.89,50.6,15.01,1,bF,0.88,8.2,8.4,2,10op,1.05,7.2,7.5
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-09,VAL ST. COME (CAN),Men's Moguls,Results Final,PAGE Nick,2533462,3,80.96,16.14,48.4,16.42,1,7oG,1.01,8.1,8.2,2,10op,1.05,7.8,7.8
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,85.56,16.67,51.7,17.19,1,bF,0.88,9.2,9.0,2,10op,1.05,9.0,8.5
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,2,80.54,17.02,47.0,16.52,1,10oG,1.2,8.3,7.8,2,7op,0.88,7.8,7.8
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Men's Moguls,Results Final 2,HIRAYAMA Shota,2531908,3,79.47,16.4,48.0,15.07,1,bF,0.88,7.3,7.8,2,7oG,1.01,8.4,8.3
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.17,15.49,49.0,16.68,1,7oG,1.11,7.8,8.1,2,bG,0.92,8.5,8.6
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Final 2,LEMLEY Elizabeth,2537762,2,78.12,15.57,47.4,15.15,1,7op,0.98,6.8,6.6,2,7oG,1.11,7.9,7.6
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,76.6,15.59,46.5,14.51,1,7oG,1.11,6.8,6.3,2,7op,0.98,7.2,7.6
FIS FREESTYLE SKI WORLD CUP 2026,2026-02-28,NANTO-TOYAMA (JPN),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,1,78.42,17.51,45.5,15.41,1,bF,0.88,8.3,8.0,2,10op,1.05,7.6,8.1
FIS FREESTYLE SKI WORLD CUP 2026,2026-02-28,NANTO-TOYAMA (JPN),Men's Moguls,Results Final 2,WENDLER Landon,2534140,2,78.21,17.28,45.4,15.53,1,7op,0.88,8.6,8.0,2,7oG,1.01,8.0,8.3
FIS FREESTYLE SKI WORLD CUP 2026,2026-02-28,NANTO-TOYAMA (JPN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,3,75.63,18.58,42.3,14.75,1,bF,0.88,8.2,8.4,2,10op,1.05,7.1,7.1
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,89.82,18.17,53.6,18.05,1,bdF,1.05,9.0,8.5,2,10op,1.05,8.7,8.2
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,2,88.9,18.92,53.0,16.98,1,10op,1.05,9.4,9.3,2,7op,0.88,8.1,8.2
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,3,88.52,18.18,53.5,16.84,1,bF,0.88,9.1,8.9,2,10op,1.05,8.6,8.4
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,1,87.4,19.23,52.4,15.77,1,bG,0.92,8.1,8.1,2,7op,0.98,8.6,8.4
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,83.56,19.83,49.8,13.93,1,bG,0.92,8.1,8.4,2,bp,0.81,7.8,7.9
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Women's Moguls,Results Final 2,CARROLL Avital,2529074,3,80.19,19.14,45.8,15.25,1,7oG,1.11,6.8,7.2,2,bG,0.92,7.9,8.4
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,89.03,17.65,52.2,19.18,1,bdF,1.05,8.7,8.8,2,14op,1.22,8.5,9.0
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,82.68,17.36,49.1,16.22,1,bdF,1.05,8.5,8.6,2,10op,1.05,7.0,6.8
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,JUNG Daeyoon,2534856,3,81.76,17.14,47.3,17.32,1,10oG,1.2,8.6,8.5,2,7oG,1.01,7.3,7.2
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,1,77.92,17.34,47.0,13.58,1,bp,0.81,7.5,7.3,2,7op,0.98,7.6,7.9
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,TOMITAKA Hinako,2532031,2,75.15,16.49,46.1,12.56,1,bG,0.92,5.5,5.2,2,7op,0.98,7.7,7.9
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,SCHWINGHAMMER,2533204,3,74.92,16.8,43.9,14.22,1,7op,0.98,6.5,6.3,2,bG,0.92,8.7,8.6
