event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score,podium_rank
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 1,LEMLEY Elizabeth,2537762,3,74.2,19.28,40.2,14.72,1,bp,0.81,8.4,8.6,2,7op,0.98,8.0,8.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,LEMLEY Elizabeth,2537762,2,79.68,18.72,45.6,15.36,1,bp,0.81,8.3,8.6,2,7op,0.98,8.6,8.8,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Qualification,LEMLEY Elizabeth,2537762,3,75.58,18.37,42.1,15.11,1,bp,0.81,8.2,8.2,2,7op,0.98,8.8,8.5,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 1,GIACCIO Olivia,2532241,4,73.43,17.72,41.7,14.01,1,bF,0.98,7.0,6.5,2,7op,0.98,7.6,7.5,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,76.35,18.17,43.0,15.18,1,bF,0.98,7.5,7.2,2,7op,0.98,8.1,8.2,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Qualification,GIACCIO Olivia,2532241,9,68.67,16.28,37.9,14.49,1,bF,0.98,6.7,6.3,2,7op,0.98,8.2,8.4,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,82.16,15.45,50.4,16.31,1,10op,1.05,7.7,8.0,2,7oG,1.01,7.8,8.2,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,85.02,16.18,51.3,17.54,1,10op,1.05,8.2,8.1,2,7oG,1.01,8.8,9.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,2,78.38,15.38,47.6,15.4,1,10op,1.05,7.6,8.0,2,7op,0.88,8.4,8.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,PAGE Nick,2533462,2,80.08,16.99,46.3,16.79,1,10op,1.05,8.3,8.7,2,7oG,1.01,7.6,8.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,PAGE Nick,2533462,2,79.55,18.72,46.8,14.03,1,10op,1.05,6.4,6.0,2,7oG,1.01,7.4,7.5,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Qualification,PAGE Nick,2533462,7,73.57,15.59,44.3,13.68,1,10op,1.05,6.7,6.8,2,7op,0.88,7.3,7.7,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,GRAVENFORS Filip,2534858,3,79.31,16.79,46.2,16.32,1,10oG,1.2,7.2,6.8,2,10op,1.05,7.4,7.7,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,79.53,17.41,46.7,15.42,1,10oG,1.2,7.2,7.4,2,10op,1.05,6.3,6.4,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Men's Moguls,Results Qualification,GRAVENFORS Filip,2534858,5,74.86,16.58,46.1,12.18,1,10op,1.05,6.8,6.6,2,7op,0.88,5.8,5.9,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,83.24,16.25,49.8,17.19,1,7oG,1.11,8.5,8.4,2,bG,0.92,8.6,8.4,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.74,15.93,47.1,16.71,1,7oG,1.11,7.7,8.0,2,bG,0.92,9.1,8.3,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,YANAGIMOTO Rino,2532040,6,73.34,15.08,46.9,11.36,1,bp,0.81,7.1,6.7,2,7op,0.98,5.9,5.9,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,YANAGIMOTO Rino,2532040,2,72.42,16.08,43.9,12.44,1,bp,0.81,7.6,7.9,2,7op,0.98,6.2,6.4,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,GIACCIO Olivia,2532241,3,76.31,15.35,47.5,13.46,1,bF,0.98,6.5,6.6,2,7op,0.98,7.3,7.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,72.16,16.09,42.6,13.47,1,bF,0.98,6.4,6.2,2,7op,0.98,7.5,7.4,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,81.37,16.53,48.9,15.94,1,10op,1.05,7.1,7.4,2,7oG,1.01,8.3,8.2,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,86.55,16.85,52.9,16.8,1,10op,1.05,7.5,7.5,2,7oG,1.01,8.8,8.9,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,VAILLANCOURT Elliot,2532513,4,77.11,17.51,44.8,14.8,1,7oG,1.01,7.4,7.9,2,7op,0.88,8.1,8.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,VAILLANCOURT Elliot,2532513,2,77.44,17.24,45.1,15.1,1,7oG,1.01,8.2,8.3,2,7op,0.88,7.7,7.7,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,2,80.0,17.72,49.4,12.88,1,bF,0.88,8.2,8.1,2,10op,1.05,5.4,5.5,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,3,77.23,17.93,45.6,13.7,1,bdF,1.05,6.0,6.0,2,10op,1.05,7.0,7.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,80.42,18.4,47.5,14.52,1,7oG,1.11,7.1,7.1,2,bp,0.81,8.2,8.2,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.98,18.54,46.7,14.74,1,7oG,1.11,8.3,8.2,2,bp,0.81,7.1,6.7,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,80.84,17.8,47.2,15.84,1,7oG,1.11,8.0,7.8,2,bG,0.92,7.8,7.6,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,2,79.45,19.18,47.4,12.87,1,bG,0.92,8.0,8.1,2,bp,0.81,6.5,7.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,75.64,19.56,44.7,11.38,1,bG,0.92,7.7,7.9,2,7op,0.98,4.2,4.4,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,3,72.38,17.91,45.5,8.97,1,bG,0.92,4.9,4.5,2,bp,0.81,5.6,5.9,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,GIACCIO Olivia,2532241,6,74.52,17.74,44.4,12.38,1,bF,0.98,6.3,6.6,2,7op,0.98,6.1,6.3,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,3,74.82,17.38,45.1,12.34,1,bF,0.98,7.0,7.0,2,7op,0.98,5.4,5.8,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Qualification,GIACCIO Olivia,2532241,6,69.27,15.31,42.5,11.46,1,bF,0.98,6.5,6.8,2,7op,0.98,5.0,5.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,2,76.98,14.44,46.6,15.94,1,bF,0.88,8.4,8.4,2,10op,1.05,8.2,8.1,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,77.11,15.08,47.5,14.53,1,bdF,1.05,6.3,6.5,2,10op,1.05,7.4,7.5,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,2,76.43,13.68,48.2,14.55,1,bF,0.88,8.5,8.4,2,7op,0.88,8.1,8.1,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 1,GRAVENFORS Filip,2534858,3,73.72,15.51,44.6,13.61,1,bF,0.88,6.8,7.1,2,10op,1.05,7.1,7.2,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,2,75.85,15.11,46.7,14.04,1,bF,0.88,8.5,8.5,2,10op,1.05,6.2,6.3,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Qualification,GRAVENFORS Filip,2534858,9,70.01,14.56,42.8,12.65,1,10op,1.05,6.7,6.6,2,7op,0.88,6.3,6.6,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,79.44,15.01,47.6,16.83,1,bF,0.88,9.3,9.4,2,10op,1.05,8.3,8.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,3,75.21,15.13,46.3,13.78,1,bF,0.88,8.5,8.5,2,10op,1.05,6.0,6.0,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,1,81.7,15.63,50.9,15.17,1,bF,0.88,9.0,9.2,2,7op,0.88,8.1,8.2,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,75.48,16.53,44.5,14.45,1,7oG,1.11,7.0,7.3,2,bp,0.81,8.1,8.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.08,16.53,46.5,16.05,1,7oG,1.11,8.0,8.1,2,bp,0.81,8.9,8.7,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,77.15,15.77,46.1,15.28,1,7oG,1.11,7.5,7.8,2,bp,0.81,8.5,8.3,1
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 1,YANAGIMOTO Rino,2532040,3,74.19,15.43,44.1,14.66,1,7oG,1.11,7.8,7.7,2,7op,0.98,6.1,6.3,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,YANAGIMOTO Rino,2532040,2,77.1,15.64,44.5,16.96,1,7oG,1.11,8.5,8.4,2,7op,0.98,7.7,7.8,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Qualification,YANAGIMOTO Rino,2532040,3,71.17,14.06,43.0,14.11,1,bp,0.81,8.4,8.2,2,7op,0.98,7.5,7.6,2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 1,SOAR Hannah,2531373,6,70.16,15.07,42.4,12.69,1,bp,0.81,6.9,7.2,2,bG,0.92,7.6,7.6,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,SOAR Hannah,2531373,3,71.18,14.96,43.3,12.92,1,bp,0.81,7.4,7.6,2,bG,0.92,7.5,7.4,3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Qualification,SOAR Hannah,2531373,6,65.4,12.99,41.8,10.61,1,bp,0.81,6.7,6.7,2,bG,0.92,5.6,5.7,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 1,WALLBERG Walter,2532001,1,83.67,18.23,49.6,15.84,1,bF,0.88,8.3,8.5,2,10op,1.05,8.1,8.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,1,84.92,18.23,51.4,15.29,1,bF,0.88,8.2,8.2,2,10op,1.05,7.7,7.7,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Qualification,WALLBERG Walter,2532001,6,73.98,17.81,46.0,10.17,1,bF,0.88,5.4,5.0,2,7oG,1.01,5.6,5.5,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 1,VAILLANCOURT Elliot,2532513,2,82.13,17.09,47.9,17.14,1,10op,1.05,8.2,8.2,2,7oG,1.01,8.4,8.5,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 2,VAILLANCOURT Elliot,2532513,2,82.37,17.7,49.1,15.57,1,10op,1.05,8.2,8.1,2,7oG,1.01,7.0,6.9,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Qualification,VAILLANCOURT Elliot,2532513,15,71.2,16.97,40.3,13.93,1,10op,1.05,6.2,6.5,2,7oG,1.01,7.4,7.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 1,GRAVENFORS Filip,2534858,3,80.65,17.39,47.4,15.86,1,10op,1.05,8.2,8.2,2,7op,0.88,8.4,8.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,77.7,18.06,47.1,12.54,1,10op,1.05,8.4,8.2,2,7oG,1.01,3.8,3.8,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Men's Moguls,Results Qualification,GRAVENFORS Filip,2534858,3,75.95,16.72,46.3,12.93,1,bF,0.88,6.5,6.8,2,7op,0.88,8.0,8.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,81.18,17.97,47.4,15.81,1,7oG,1.11,7.2,7.3,2,bG,0.92,8.4,8.5,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,82.01,17.7,47.8,16.51,1,7oG,1.11,7.8,7.8,2,bG,0.92,8.4,8.7,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,81.48,18.45,47.4,15.63,1,7oG,1.11,7.8,7.7,2,bG,0.92,7.5,7.8,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,5,71.78,18.82,41.1,11.86,1,bG,0.92,8.0,8.1,2,7op,0.98,4.4,4.7,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,74.87,18.82,44.0,12.05,1,bG,0.92,5.7,5.5,2,7op,0.98,7.2,6.9,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,5,71.62,17.59,42.5,11.53,1,bG,0.92,7.3,7.5,2,bp,0.81,5.8,5.9,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 1,TOMITAKA Hinako,2532031,3,73.77,16.26,44.9,12.61,1,bG,0.92,6.1,6.1,2,7op,0.98,7.1,7.2,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,TOMITAKA Hinako,2532031,3,74.19,16.69,45.3,12.2,1,bG,0.92,7.2,7.1,2,7op,0.98,5.7,5.8,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Qualification,TOMITAKA Hinako,2532031,7,69.83,15.83,42.0,12.0,1,bG,0.92,6.1,6.2,2,bp,0.81,7.8,7.9,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,2,83.0,17.03,49.2,16.77,1,bF,0.88,9.5,9.3,2,10op,1.05,8.2,8.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,85.84,17.28,50.3,18.26,1,bdF,1.05,9.0,9.1,2,10op,1.05,8.3,8.4,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,1,79.71,17.28,48.1,14.33,1,bF,0.88,8.3,8.1,2,7op,0.88,8.2,8.0,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 1,WOODS Cooper,2532161,3,77.63,16.34,46.0,15.29,1,bdF,1.05,7.9,8.5,2,7op,0.88,7.8,7.4,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 2,WOODS Cooper,2532161,2,81.04,17.66,47.6,15.78,1,bdF,1.05,7.9,8.1,2,7op,0.88,8.7,8.1,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Qualification,WOODS Cooper,2532161,4,78.04,14.5,48.1,15.44,1,bF,0.88,9.0,9.7,2,7op,0.88,8.0,8.4,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,84.19,16.83,49.1,18.26,1,bdF,1.05,9.3,9.2,2,10op,1.05,8.3,8.0,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,3,80.07,17.07,45.0,18.0,1,bdF,1.05,8.2,8.3,2,10op,1.05,9.2,8.6,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,2,79.51,15.57,48.5,15.44,1,bF,0.88,9.5,9.4,2,7op,0.88,8.2,8.0,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,81.4,17.96,47.0,16.44,1,7oG,1.11,8.5,8.3,2,bp,0.81,9.0,8.6,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.22,18.02,47.6,15.6,1,7oG,1.11,8.3,7.8,2,bp,0.81,8.6,7.9,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,1,71.87,15.92,40.9,15.05,1,7oG,1.11,8.1,7.8,2,bp,0.81,7.8,7.6,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,3,72.32,19.16,40.7,12.46,1,7op,0.98,6.8,7.4,2,bp,0.81,6.1,7.5,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,71.71,19.07,40.6,12.04,1,7op,0.98,6.8,7.7,2,bp,0.81,5.2,7.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,3,68.81,16.47,41.1,11.24,1,bG,0.92,6.8,7.8,2,bp,0.81,5.4,5.8,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 1,SOAR Hannah,2531373,4,71.88,16.97,44.6,10.31,1,bp,0.81,6.1,7.8,2,bG,0.92,5.1,5.1,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,SOAR Hannah,2531373,3,67.93,15.35,43.1,9.48,1,bp,0.81,5.7,5.7,2,bG,0.92,5.1,5.5,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,SOAR Hannah,2531373,10,61.76,16.7,36.4,8.66,1,bp,0.81,4.7,4.8,2,bG,0.92,5.2,5.3,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,82.09,16.6,49.5,15.99,1,bF,0.88,9.2,8.9,2,10op,1.05,7.5,7.8,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,82.17,16.86,49.3,16.01,1,bF,0.88,8.8,9.0,2,10op,1.05,8.1,7.5,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,2,78.08,15.49,48.3,14.29,1,bF,0.88,8.1,8.2,2,7op,0.88,8.0,8.2,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,4,76.71,16.98,45.6,14.13,1,bF,0.88,8.5,8.0,2,10op,1.05,7.1,6.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,2,79.15,17.34,47.8,14.01,1,bdF,1.05,6.6,5.4,2,10op,1.05,7.7,7.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,6,76.67,15.87,47.3,13.5,1,bF,0.88,8.1,7.2,2,7op,0.88,8.4,7.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 1,GRAVENFORS Filip,2534858,2,79.84,17.6,46.7,15.54,1,10op,1.05,8.1,8.2,2,7op,0.88,7.7,8.2,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Final 2,GRAVENFORS Filip,2534858,3,78.8,17.41,46.2,15.19,1,10op,1.05,7.2,8.0,2,7op,0.88,8.2,8.2,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,GRAVENFORS Filip,2534858,1,79.11,16.29,47.8,15.02,1,10op,1.05,7.8,7.5,2,7op,0.88,8.1,7.8,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 1,GIACCIO Olivia,2532241,1,70.79,16.51,43.4,10.88,1,bF,0.98,4.1,4.4,2,10op,1.15,6.3,5.4,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,1,75.42,15.96,44.8,14.66,1,bF,0.98,7.2,6.9,2,10op,1.15,7.0,6.5,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Qualification,GIACCIO Olivia,2532241,2,70.78,14.5,43.2,13.08,1,bF,0.98,7.0,6.8,2,7op,0.98,6.5,6.4,1
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,2,69.05,17.96,41.3,9.79,1,bG,0.92,7.1,6.1,2,7op,0.98,4.0,3.6,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,2,70.87,18.41,40.4,12.06,1,bG,0.92,7.7,6.3,2,7op,0.98,6.2,5.3,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,3,68.35,15.51,43.6,9.24,1,bG,0.92,4.0,4.3,2,bp,0.81,7.4,6.0,2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 1,TOMITAKA Hinako,2532031,4,68.33,14.94,41.9,11.49,1,bG,0.92,7.0,6.7,2,7op,0.98,5.8,4.8,3
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,TOMITAKA Hinako,2532031,3,67.33,14.51,40.4,12.42,1,bG,0.92,6.8,7.0,2,7op,0.98,6.5,5.9,3
