event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,GERKEN SCHOFIELD,2530540,GBR,6,67.96,18.27,38.3,11.39,1,bG,0.92,7.0,6.6,2,bp,0.81,6.5,6.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,KOLMAKOV Pavel,2528846,KAZ,13,58.92,15.39,31.2,12.33,1,bdF,1.05,7.3,6.4,2,10op,1.05,5.0,4.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,YANAGIMOTO Rino,2532040,JPN,5,74.19,15.87,44.3,14.02,1,bp,0.81,8.3,7.7,2,7op,0.98,7.4,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,AMRENOVA Ayaulym,2532085,KAZ,14,59.06,13.78,33.6,11.68,1,bG,0.92,6.7,6.9,2,7op,0.98,5.1,6.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,GERKEN SCHOFIELD,2530540,GBR,4,73.49,17.3,43.8,12.39,1,bG,0.92,7.0,6.4,2,bp,0.81,8.0,7.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,YANAGIMOTO Rino,2532040,JPN,5,71.96,16.2,42.3,13.46,1,bp,0.81,7.1,6.8,2,7op,0.98,8.2,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,KAUF Jaelin,2529064,USA,8,72.91,18.2,42.7,12.01,1,bG,0.92,7.0,7.6,2,bp,0.81,6.7,6.4
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,RAMSAUER Katharina,2530097,AUT,23,50.61,13.88,28.0,8.73,1,bL,0.81,5.7,5.9,2,bG,0.92,4.2,4.6
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,CAO Tianqing,2537262,CHN,24,49.72,14.26,27.0,8.46,1,bG,0.92,3.9,4.4,2,7op,0.98,4.7,4.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,CHALIFOUX Louis-,2534234,CAN,10,76.52,16.67,46.0,13.85,1,bF,0.88,8.0,8.0,2,7op,0.88,7.7,7.8
