event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,WALLBERG Walter,2532001,SWE,2,84.53,17.53,49.0,18.0,1,bdF,1.05,8.3,8.1,2,10op,1.05,8.9,9.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,LINTON Jessica,2533613,CAN,13,64.49,13.66,40.4,10.43,1,bG,0.92,4.8,4.8,2,7op,0.98,6.2,6.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 1,MOUILLE Thibaud,2532044,FRA,11,74.23,15.15,44.5,14.58,1,10op,1.05,6.8,8.4,2,bG,0.82,7.5,8.6
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,JPN,1,80.67,15.75,49.2,15.72,1,bF,0.88,8.0,8.4,2,10op,1.05,8.0,8.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,MICKEL Charlie,2537180,USA,34,63.96,15.03,38.5,10.43,1,7oG,1.01,5.7,5.3,2,7op,0.88,5.5,5.6
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,CONEDERA Martino,2532502,SUI,36,62.86,12.97,38.4,11.49,1,7oG,1.01,7.0,6.0,2,7op,0.88,6.0,5.2
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,CARROLL Avital,2529074,AUT,26,19.98,9.47,4.5,6.01,1,bG,0.92,1.5,1.1,2,bp,0.81,5.9,6.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,CAN,2,78.08,15.49,48.3,14.29,1,bF,0.88,8.1,8.2,2,7op,0.88,8.0,8.2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,WALCZYK Dylan,2527085,USA,10,71.5,14.92,46.0,10.58,1,bG,0.82,7.2,6.3,2,7op,0.88,6.3,5.2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,MICHEL Asher,2537833,USA,19,66.69,13.93,40.7,12.06,1,bG,0.82,7.2,7.2,2,7op,0.88,7.0,7.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,GAJDECKA Marek,2535392,CZE,54,15.84,6.61,3.3,5.93,1,bF,0.88,3.0,2.6,2,7op,0.88,4.0,3.9
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,CAN,1,81.55,16.12,51.4,14.03,1,10op,1.05,7.0,7.5,2,7op,0.88,7.6,7.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,PENTTALA Olli,2528035,FIN,27,71.52,15.34,42.8,13.38,1,7oG,1.01,6.2,6.9,2,10op,1.05,6.2,6.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,BONDAREV Anton,2532859,KAZ,42,53.45,14.47,31.5,7.48,1,10op,1.05,4.7,4.1,2,bG,0.82,3.5,3.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Final 2,JOHNSON Tess,2532270,USA,4,76.5,15.36,46.3,14.84,1,7oG,1.11,6.3,6.2,2,bG,0.92,8.5,8.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,GORODKO,2535385,KAZ,12,68.99,16.0,40.0,12.99,1,7op,0.98,5.9,5.8,2,bG,0.92,8.0,7.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,YANAGIMOTO Rino,2532040,JPN,13,68.72,14.25,42.0,12.47,1,7oG,1.11,6.0,6.6,2,7op,0.98,5.2,6.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,FUJIKI Hina,2533039,JPN,16,66.3,12.79,43.3,10.21,1,bG,0.92,5.3,6.0,2,bp,0.81,6.3,6.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,RAMSAUER Katharina,2530097,AUT,22,55.94,11.64,32.6,11.7,1,bT,0.78,5.8,5.0,2,bG,0.92,8.2,8.1
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,CABROL Camille,2530274,FRA,9,66.34,11.69,44.4,10.25,1,bG,0.92,5.8,6.2,2,bp,0.81,6.2,5.5
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,LINTON Jessica,2533613,CAN,22,53.75,11.74,33.8,8.21,1,bG,0.92,3.6,3.7,2,bp,0.81,6.0,6.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 1,OWENS Kai,2534962,USA,8,69.83,15.98,40.3,13.55,1,bp,0.81,6.5,6.7,2,7oG,1.11,7.4,7.4
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Qualification,GRAVENFORS Filip,2534858,SWE,5,75.99,16.0,46.4,13.59,1,bF,0.88,8.3,8.1,2,7op,0.88,7.5,7.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Qualification,KOLMAKOV Pavel,2528846,KAZ,8,73.92,15.6,45.4,12.92,1,bF,0.88,6.9,7.6,2,7op,0.88,7.2,7.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,TOMITAKA Hinako,2532031,JPN,8,68.01,12.91,45.1,10.0,1,bG,0.92,4.9,5.5,2,bp,0.81,6.2,6.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,ITO Marin,2534824,JPN,9,67.64,13.07,43.4,11.17,1,bG,0.92,5.1,6.1,2,fG,0.92,6.4,6.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,DESMARAIS-GILBERT,2531811,CAN,14,64.33,14.07,41.3,8.96,1,bG,0.92,4.2,4.3,2,bp,0.81,6.8,5.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,GRAHAM Matt,2441426,AUS,7,75.52,17.07,46.1,12.35,1,bF,0.88,7.1,7.1,2,7op,0.88,6.9,7.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,MOUILLE Thibaud,2532044,FRA,12,73.92,14.42,43.8,15.7,1,10op,1.05,7.6,7.7,2,7oG,1.01,7.7,7.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,SHIMAKAWA Takuya,2530672,JPN,22,71.36,14.67,43.8,12.89,1,7op,0.88,7.5,7.7,2,7oG,1.01,6.1,6.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,CAYOLLE Tristan,2533776,FRA,29,68.6,14.92,41.7,11.98,1,7oG,1.01,6.4,6.3,2,bG,0.82,6.8,6.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Women's Moguls,Results Qualification,GALYSHEVA Yuliya,2484307,KAZ,5,68.57,14.0,41.1,13.47,1,bG,0.92,6.9,7.1,2,fG,0.92,7.5,7.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Women's Moguls,Results Qualification,MALHERBE Malica,2535457,RSA,24,55.88,11.64,34.8,9.44,1,bG,0.92,5.2,5.4,2,bp,0.81,5.6,5.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Women's Moguls,Results Qualification,HAO Liyun,2537261,CHN,29,42.62,4.76,30.0,7.86,1,S,0.48,5.1,5.6,2,bp,0.81,6.6,6.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Women's Moguls,Results Qualification,LI Ruilin,2537198,CHN,31,23.69,8.69,11.0,4.0,1,bp,0.81,4.9,5.0,2,NJ,0.0,0.0,0.0
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,NISHIZAWA Taketo,2531352,JPN,7,76.48,16.24,46.1,14.14,1,bF,0.88,6.8,7.0,2,7oG,1.01,8.1,7.9
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,WALCZYK Dylan,2527085,USA,8,75.61,16.09,47.0,12.52,1,bG,0.82,8.1,8.2,2,7op,0.88,6.7,6.6
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,SHIMAKAWA Takuya,2530672,JPN,19,70.98,15.14,42.1,13.74,1,bG,0.82,8.3,8.4,2,7op,0.88,7.9,7.8
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,BUGAKOV Fyodor,2535809,KAZ,30,60.1,14.49,36.6,9.01,1,bF,0.88,3.8,3.5,2,7op,0.88,6.5,6.7
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,JPN,1,85.47,16.79,51.1,17.58,1,bdF,1.05,7.9,7.9,2,10op,1.05,8.7,9.0
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,PAGE Nick,2533462,USA,4,80.77,17.05,46.9,16.82,1,7oG,1.01,8.4,8.5,2,10op,1.05,7.8,8.0
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,FRA,1,76.23,17.87,45.8,12.56,1,bp,0.81,7.3,6.8,2,7op,0.98,7.1,6.9
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 1,SCHWINGHAMMER,2533204,CAN,3,75.57,15.89,44.7,14.98,1,7op,0.98,7.5,7.8,2,bG,0.92,7.9,8.4
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 1,JOHNSON Tess,2532270,USA,12,71.21,14.98,44.2,12.03,1,7oG,1.11,5.1,4.9,2,bG,0.92,7.1,7.0
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 1,WEESE Hanna,2532819,GER,19,53.53,17.51,24.0,12.02,1,bG,0.92,6.4,6.1,2,bp,0.81,7.5,8.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,SHIMAKAWA Takuya,2530672,JPN,7,79.1,15.58,47.7,15.82,1,7oG,1.01,8.5,8.2,2,7op,0.88,8.3,8.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 1,PAGE Nick,2533462,USA,1,81.51,17.25,47.9,16.36,1,10op,1.05,7.5,7.9,2,7oG,1.01,8.2,8.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 1,VIEL Julien,2534074,CAN,10,74.36,16.68,45.9,11.78,1,bF,0.88,7.0,6.9,2,7op,0.88,6.8,6.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,VAILLANCOURT Elliot,2532513,CAN,31,65.27,14.34,38.5,12.43,1,7op,0.88,6.8,5.4,2,7oG,1.01,7.0,7.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,GUSTAFSON Moa,2535767,SWE,31,5.19,0.0,0.3,4.89,1,bp,0.81,4.2,6.0,2,bL,0.81,0.1,1.8
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Qualification,DOOLEY Claire,2535435,IRL,32,2.01,0.0,0.3,1.71,1,3,0.78,1.5,2.9,2,NJ,0.0,0.0,0.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,HOLMGREN Albin,2532811,SWE,15,69.39,14.45,43.4,11.54,1,bF,0.88,4.0,5.6,2,7oG,1.01,7.3,7.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Final 2,VIERELA Severi,2533386,FIN,6,76.72,17.81,44.4,14.51,1,7oG,1.01,7.1,7.4,2,10op,1.05,7.0,6.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,CORDELL Sam,2532530,CAN,13,75.52,14.14,46.7,14.68,1,7oG,1.01,7.9,7.8,2,bG,0.82,8.2,8.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,JPN,16,74.99,15.61,45.1,14.28,1,bF,0.88,8.0,7.4,2,10op,1.05,7.0,7.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,HOGG Kasey,2534251,USA,6,71.58,14.25,46.0,11.33,1,bp,0.81,6.2,5.9,2,bG,0.92,7.0,7.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,CABROL Camille,2530274,FRA,9,69.12,13.97,42.9,12.25,1,bG,0.92,6.8,7.0,2,bp,0.81,7.1,7.5
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,FRA,1,81.13,16.06,49.0,16.07,1,7oG,1.11,8.2,8.0,2,bG,0.92,7.7,7.7
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 2,OWENS Kai,2534962,USA,6,41.16,9.03,20.2,11.93,1,7op,0.98,7.2,7.0,2,bp,0.81,6.3,6.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,OWENS Kai,2534962,USA,13,59.57,11.54,35.2,12.83,1,7op,0.98,7.6,7.4,2,7oG,1.11,5.0,4.9
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 1,GIACCIO Olivia,2532241,USA,1,79.77,16.95,46.1,16.72,1,7oG,1.11,7.8,7.6,2,7op,0.98,8.2,8.5
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 1,KAUF Jaelin,2529064,USA,6,73.25,18.57,40.9,13.78,1,7op,0.98,7.6,7.5,2,bG,0.92,7.1,6.8
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Qualification,MOUILLE Thibaud,2532044,FRA,16,70.88,13.69,43.3,13.89,1,10op,1.05,7.7,7.3,2,7op,0.88,6.8,6.9
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Qualification,JEANNESSON Mateo,2535572,GBR,23,67.73,13.43,43.2,11.1,1,10op,1.05,4.9,5.3,2,7oG,1.01,5.4,6.0
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,JOHNSON Tess,2532270,USA,4,71.39,13.95,42.0,15.44,1,7oG,1.11,7.3,7.2,2,bG,0.92,7.9,8.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,CARROLL Avital,2529074,AUT,15,63.85,13.88,40.3,9.67,1,bp,0.81,5.2,5.3,2,bG,0.92,5.5,6.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,KROUPA Matyas,2537792,CZE,36,65.31,14.38,39.5,11.43,1,bG,0.82,6.0,6.0,2,7oG,1.01,6.4,6.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,WANG Renda,2537252,CHN,37,64.68,11.98,41.8,10.9,1,bF,0.88,6.0,6.2,2,7op,0.88,6.2,6.4
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,IBRAGIMOV Ilnar,2539211,KAZ,42,17.81,1.4,7.5,8.91,1,bF,0.88,5.0,5.1,2,bp,0.71,6.3,6.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Women's Moguls,Results Final 1,SCHWINGHAMMER,2533204,CAN,11,68.71,14.82,43.8,10.09,1,7op,0.98,6.2,6.9,2,bG,0.92,4.0,4.0
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,CAN,2,80.54,17.6,48.3,14.64,1,bF,0.88,8.4,8.3,2,7op,0.88,8.3,8.3
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,VAILLANCOURT Elliot,2532513,CAN,10,73.68,16.3,46.6,10.78,1,10op,1.05,7.1,7.2,2,7oG,1.01,3.2,3.3
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-18,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Qualification,CONEDERA Martino,2532502,SUI,34,54.52,14.17,29.2,11.15,1,10op,1.05,3.6,3.8,2,7oG,1.01,7.2,7.2
"FIS Snowboard, Freestyle and Freeski World Championships 2025",2025-03-19,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 1,DESMARAIS-GILBERT,2531811,CAN,7,73.32,15.81,45.1,12.41,1,bG,0.92,6.4,6.8,2,bp,0.81,7.8,7.9
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,HOLMGREN Albin,2532811,SWE,9,77.68,15.37,45.9,16.41,1,bF,0.88,8.8,9.2,2,10op,1.05,8.1,8.1
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,GOODISON Samuel,2534451,CAN,13,71.86,17.07,39.4,15.39,1,bF,0.88,9.2,9.2,2,7op,0.88,8.3,8.3
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,YANAGIMOTO Rino,2532040,JPN,12,65.26,15.19,42.7,7.37,1,7op,0.98,4.1,4.3,2,lG,0.92,3.9,3.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 1,JUNG Daeyoon,2534856,KOR,4,78.76,16.39,46.8,15.57,1,10oG,1.2,7.1,7.5,2,7oG,1.01,7.0,6.5
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Final 1,VIERELA Severi,2533386,FIN,12,73.27,15.44,44.1,13.73,1,10op,1.05,6.8,5.7,2,7oG,1.01,7.1,7.1
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,LUCAS Nash,2534751,USA,30,65.59,14.77,38.9,11.92,1,bF,0.88,5.8,5.6,2,7oG,1.01,6.5,7.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,PENTTALA Olli,2528035,FIN,38,62.22,17.14,34.9,10.18,1,10op,1.05,6.7,5.4,2,7oG,1.01,3.4,4.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-01-24,WATERVILLE (USA),Men's Moguls,Results Qualification,CROZET Leo,2538029,FRA,47,54.39,17.17,26.8,10.42,1,bG,0.82,6.0,7.5,2,7oG,1.01,4.8,4.9
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,VIEL Julien,2534074,CAN,16,69.36,14.62,42.3,12.44,1,bF,0.88,7.7,7.4,2,7op,0.88,6.8,6.4
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,MURPHY George,2534254,AUS,23,65.52,14.42,38.6,12.5,1,7oG,1.01,7.0,7.3,2,7op,0.88,6.0,6.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,DUFRESNE Gabriel,2530240,CAN,31,62.77,15.83,35.6,11.34,1,bF,0.88,6.6,6.2,2,7op,0.88,7.0,6.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,JUNG Daeyoon,2534856,KOR,46,44.13,13.11,23.3,7.72,1,10oG,1.2,6.4,6.2,2,3,0.68,0.3,0.2
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Men's Moguls,Results Qualification,YEMELYANOV Maxim,2535387,KAZ,49,31.28,12.0,10.3,8.98,1,7oG,1.01,3.3,3.0,2,7op,0.88,6.3,6.9
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 2,HOGG Kasey,2534251,USA,6,64.47,16.18,38.3,9.99,1,bp,0.81,6.2,6.1,2,bG,0.92,5.2,5.7
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,NISHIZAWA Taketo,2531352,JPN,6,77.04,15.46,47.1,14.48,1,bF,0.88,8.0,8.4,2,7oG,1.01,7.0,7.4
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Men's Moguls,Results Qualification,GAJDECKA Marek,2535392,CZE,33,67.76,13.93,41.2,12.63,1,bF,0.88,6.3,6.7,2,7oG,1.01,6.5,7.2
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-21,BEIDAHU (CHN),Women's Moguls,Results Qualification,WANG Sibo,2540053,CHN,26,44.58,8.72,29.6,6.26,1,S,0.48,5.3,4.8,2,bp,0.81,4.5,5.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Men's Moguls,Results Final 2,VIERELA Severi,2533386,FIN,6,71.86,14.83,44.1,12.93,1,10op,1.05,8.0,8.3,2,10oG,1.2,3.5,3.8
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,LAFFONT Perrine,2531156,FRA,2,76.42,15.05,45.6,15.77,1,7oG,1.11,8.0,7.0,2,bG,0.92,8.2,8.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,HOGG Kasey,2534251,USA,15,57.67,11.3,36.6,9.77,1,bp,0.81,5.3,5.8,2,bG,0.92,5.7,5.8
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,AMRENOVA Ayaulym,2532085,KAZ,16,57.65,11.65,33.6,12.4,1,bG,0.92,7.8,7.9,2,7op,0.98,5.1,5.5
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Qualification,NAKAO Haruka,2533488,JPN,19,57.07,10.03,35.4,11.64,1,bG,0.92,7.4,7.0,2,bp,0.81,6.0,6.4
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,JPN,14,72.01,18.6,41.5,11.91,1,bF,0.88,8.5,8.8,2,10op,1.05,4.0,4.2
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Men's Moguls,Results Final 1,WOODS Cooper,2532161,AUS,15,68.33,17.97,40.1,10.26,1,bF,0.88,7.5,7.6,2,bp,0.71,5.0,5.2
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,FRA,3,75.28,16.85,46.2,12.23,1,7op,0.98,7.0,7.0,2,bG,0.92,5.9,5.8
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 2,GIACCIO Olivia,2532241,USA,1,80.19,16.89,45.3,18.0,1,7oG,1.11,8.6,8.5,2,7op,0.98,8.7,8.7
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,FRA,2,76.53,16.54,45.6,14.39,1,7op,0.98,7.8,7.6,2,bG,0.92,7.4,7.5
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-20,BAKURIANI (GEO),Women's Moguls,Results Final 2,SCHWINGHAMMER,2533204,CAN,6,65.58,17.06,33.8,14.72,1,7op,0.98,7.5,7.9,2,bG,0.92,8.0,7.6
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Men's Moguls,Results Qualification,KROUPA Matyas,2537792,CZE,25,65.28,13.61,37.8,13.87,1,7oG,1.01,7.4,7.5,2,bG,0.82,7.9,7.6
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,WILSON Charlotte,2535796,AUS,11,67.11,13.92,41.3,11.89,1,bG,0.92,8.0,8.0,2,bp,0.81,5.8,5.4
FIS FREESTYLE SKI WORLD CUP 2025,2025-03-11,LIVIGNO (ITA),Women's Moguls,Results Qualification,NAKAO Haruka,2533488,JPN,13,65.61,11.97,41.8,11.84,1,lG,0.92,7.8,7.4,2,bp,0.81,5.7,6.3
FIS FREESTYLE SKI WORLD CUP 2025,2025-02-28,ALMATY (KAZ),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,JPN,3,77.82,15.68,46.3,15.84,1,10op,1.05,7.3,7.2,2,7oG,1.01,8.1,8.2
