event,event_date,venue,discipline,athlete,fis_code,podium_rank,metric,Qualification,Final 1,Deciding Final
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,ANTHONY Jakara,2530720,1,jump_1_judge_6_score,7.4,2.2,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,ANTHONY Jakara,2530720,1,jump_1_judge_7_score,7.5,4.0,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,ANTHONY Jakara,2530720,1,jump_2_judge_6_score,8.6,8.6,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,ANTHONY Jakara,2530720,1,jump_2_judge_7_score,8.2,8.5,7.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,run_score,79.76,78.53,78.33
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,air_total,13.41,14.0,13.59
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,turns_total,49.4,47.3,47.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,time_points,16.95,17.23,17.54
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,jump_1_degree_diff,0.92,0.92,0.92
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,jump_2_degree_diff,0.81,0.98,0.98
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,jump_1_judge_6_score,7.1,6.7,6.9
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,jump_1_judge_7_score,7.9,6.4,7.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,jump_2_judge_6_score,8.3,8.1,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,LAFFONT Perrine,2531156,2,jump_2_judge_7_score,7.8,8.2,7.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,run_score,72.06,74.85,78.33
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,air_total,14.12,14.55,14.28
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,turns_total,42.9,43.5,46.1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,time_points,15.04,16.8,17.95
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,jump_1_degree_diff,0.81,0.81,0.81
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,jump_2_degree_diff,0.98,0.98,0.98
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,jump_1_judge_6_score,7.7,7.8,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,jump_1_judge_7_score,7.6,8.2,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,jump_2_judge_6_score,8.2,8.2,7.9
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,KAWAMURA Anri,2534852,3,jump_2_judge_7_score,8.0,8.3,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,run_score,,79.14,81.02
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,air_total,,16.42,16.26
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,PAGE Nick,2533462,1,turns_total,,45.7,46.8
