event.discipline,athlete.fis_code,athlete.name,athlete.nsa_code,final_appearances,wins,podiums
Men's Moguls,2538702,SAUVAGEAU Jeremy,CAN,0,0,0
Men's Moguls,2538593,SAUVE Mavrick,CAN,0,0,0
Women's Moguls,2537948,SCHEID Nora,USA,0,0,0
Women's Moguls,2537782,SEVERE Rianna,USA,0,0,0
Men's Moguls,2530672,SHIMAKAWA Takuya,JPN,0,0,0
Men's Moguls,2538939,SIEFKEN Liam,USA,0,0,0
Men's Moguls,2540071,SMITH Jack,USA,0,0,0
Men's Moguls,2539300,SMITH Michael,CAN,0,0,0
Women's Moguls,2535889,SPEIRS Indiana,AUS,0,0,0
Men's Moguls,2531923,STEGFELDT Rasmus,SWE,4,0,0
Women's Moguls,2537789,STENKULA Nicolina,SWE,0,0,0
Women's Moguls,2537949,STEVENSON Maddie,USA,0,0,0
Men's Moguls,2528069,SUGIMOTO Kosuke,JPN,2,0,0
Men's Moguls,2528624,SUIRE Martin,FRA,0,0,0
Men's Moguls,2527554,TADE Marco,SUI,0,0,0
Women's Moguls,2537043,TAGUCHI Yuma,JPN,0,0,0
Men's Moguls,2535542,TAM Ryan,USA,0,0,0
Women's Moguls,2539131,TANI Mio,JPN,0,0,0
Men's Moguls,2531692,TANNER Daniel,CAN,0,0,0
Men's Moguls,2537574,TATAR-BROWN,USA,0,0,0
Men's Moguls,2540030,THRUSH Ben,USA,0,0,0
Women's Moguls,2539655,TIMPONE Sofia Carla,ITA,0,0,0
Men's Moguls,2535388,TOBEY Gavin,USA,0,0,0
Women's Moguls,2539971,TORRES Mahlia,USA,0,0,0
Men's Moguls,2537563,TRUE Jackson,USA,0,0,0
Men's Moguls,2532088,TSINN Oleg,KAZ,0,0,0
Men's Moguls,2539678,TURGEON Alexy,CAN,0,0,0
Women's Moguls,2538315,UNG Danielle,CAN,0,0,0
Men's Moguls,2538999,UNGER Quinn,CAN,0,0,0
Men's Moguls,2537082,VERDAGUER FORN,ESP,0,0,0
Men's Moguls,2539588,VERDAGUER FORN,ESP,0,0,0
Men's Moguls,2535379,VERDAGUER Lucas,ESP,0,0,0
Women's Moguls,2533937,VOUTILAINEN Riikka,FIN,0,0,0
Men's Moguls,2531880,VOUTILAINEN Riku,FIN,0,0,0
Men's Moguls,2534862,WAERME Karl,SWE,0,0,0
Women's Moguls,2537719,WAKIM Kareema,AUS,0,0,0
Men's Moguls,2527085,WALCZYK Dylan,USA,1,0,0
Men's Moguls,2537252,WANG Renda,CHN,0,0,0
Women's Moguls,2540053,WANG Sibo,CHN,0,0,0
Men's Moguls,2539362,WARGNIEZ Alexandre,FRA,0,0,0
Women's Moguls,2532819,WEESE Hanna,GER,0,0,0
Men's Moguls,2535693,WEESE Nicolas,GER,0,0,0
Women's Moguls,2532509,WEESE Sophie,GER,0,0,0
Women's Moguls,2535796,WILSON Charlotte,AUS,3,0,0
Women's Moguls,2540821,YANG Dandan,CHN,0,0,0
Women's Moguls,2537259,YANG Ya,CHN,0,0,0
Men's Moguls,2535387,YEMELYANOV Maxim,KAZ,0,0,0
Women's Moguls,2537929,YUN Shin-Ee,KOR,0,0,0
Men's Moguls,2535561,de VILLAUCOURT,FRA,0,0,0
