event.event,event.event_date,event.venue,event.discipline,event.level,athlete.fis_code,athlete.name,athlete.rank,win,podium
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2534089,MARCELLINI Dylan,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2533462,PAGE Nick,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2534140,WENDLER Landon,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2532513,VAILLANCOURT Elliot,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2531373,SOAR Hannah,6,False,False
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,5,False,False
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Men's Moguls,Results Final 2,2533462,PAGE Nick,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Men's Moguls,Results Final 2,2528117,FJALLSTROM Ludvig,5,False,False
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,1,True,True
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,5,False,False
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2528846,KOLMAKOV Pavel,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Women's Moguls,Results Final 2,2529074,CARROLL Avital,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,3,False,True
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Women's Moguls,Results Final 2,2534852,KAWAMURA Anri,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,2,False,True
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,3 DEC 2022,RUKA (FIN),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,4,False,False
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,2,False,True
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Women's Moguls,Results Final 2,2529074,CARROLL Avital,3,False,True
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",25 FEB 2023,BAKURIANI (GEO),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,15 DEC 2023,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2532513,VAILLANCOURT Elliot,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,2 DEC 2023,RUKA (FIN),Men's Moguls,Results Final 2,2528035,PENTTALA Olli,4,False,False
