event.event,event.event_date,event.venue,event.discipline,event.level,athlete.fis_code,athlete.name,athlete.rank,win,podium
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Men's Moguls,Results Final 2,2533462,PAGE Nick,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2532513,VAILLANCOURT Elliot,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Men's Moguls,Results Final 2,2537180,MICKEL Charlie,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Women's Moguls,Results Final 2,2533039,FUJIKI Hina,6,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2534074,VIEL Julien,6,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,8,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Women's Moguls,Results Final 2,2484307,GALYSHEVA Yuliya,4,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2530274,CABROL Camille,5,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2533488,NAKAO Haruka,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2531811,DESMARAIS-GILBERT,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,3,False,True
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Men's Moguls,Results Final 2,2533462,PAGE Nick,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,4,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2533462,PAGE Nick,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Men's Moguls,Results Final 2,2533386,VIERELA Severi,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Women's Moguls,Results Final 2,2534962,OWENS Kai,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Women's Moguls,Results Final 2,2534251,HOGG Kasey,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Men's Moguls,Results Final 2,2533386,VIERELA Severi,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,6,False,False
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,6,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Women's Moguls,Results Final 2,2531373,SOAR Hannah,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,19 JAN 2024,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,3,False,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2533462,PAGE Nick,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Men's Moguls,Results Final 2,2534074,VIEL Julien,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,20 DEC 2024,BAKURIANI (GEO),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,3,False,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2534856,JUNG Daeyoon,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Men's Moguls,Results Final 2,2531923,STEGFELDT Rasmus,5,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,2,False,True
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Men's Moguls,Results Final 2,2532811,HOLMGREN Albin,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Women's Moguls,Results Final 2,2535385,GORODKO,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Men's Moguls,Results Final 2,2534856,JUNG Daeyoon,4,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,11 MAR 2025,LIVIGNO (ITA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,1,True,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,7,False,False
FIS FREESTYLE SKI WORLD CUP 2024,1 FEB 2024,DEER VALLEY (USA),Women's Moguls,Results Final 2,2534186,MACUGA Alli,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,21 FEB 2025,BEIDAHU (CHN),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,30 NOV 2024,RUKA (FIN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,3,False,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
"FIS Snowboard, Freestyle and Freeski World Championships 2025",19 MAR 2025,ST. MORITZ / ENGADIN (SUI),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 DEC 2024,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Men's Moguls,Results Final 2,2533462,PAGE Nick,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2534210,HOLMGREN Emil,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Men's Moguls,Results Final 2,2533462,PAGE Nick,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2534074,VIEL Julien,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Men's Moguls,Results Final 2,2534074,VIEL Julien,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2534962,OWENS Kai,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2535796,WILSON Charlotte,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Women's Moguls,Results Final 2,2484307,GALYSHEVA Yuliya,6,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Men's Moguls,Results Final 2,2528846,KOLMAKOV Pavel,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Men's Moguls,Results Final 2,2537180,MICKEL Charlie,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2528035,PENTTALA Olli,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,4,False,False
FIS FREESTYLE SKI WORLD CUP 2025,24 JAN 2025,WATERVILLE (USA),Women's Moguls,Results Final 2,2535796,WILSON Charlotte,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,3,False,True
FIS FREESTYLE SKI WORLD CUP 2025,6 FEB 2025,DEER VALLEY (USA),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,5,False,False
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2025,31 JAN 2025,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,1,True,True
2025 FIS FREESTYLE SKI NORAM CUP,7 MAR 2025,VAL ST COME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2537322,CAREY Cole,2,False,True
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535639,DROUIN Xavier,3,False,True
2025 FIS FREESTYLE SKI NORAM CUP,7 MAR 2025,VAL ST COME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535304,BEAULIEU Charles,4,False,False
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534866,KARIOTIS Kylie,1,True,True
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2537580,AYAD Anabel,2,False,True
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538200,CLEGG Sina,6,False,False
2025 FIS FREESTYLE SKI NORAM CUP,7 MAR 2025,VAL ST COME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534089,MARCELLINI Dylan,1,True,True
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534235,MIKKELSEN Maya,4,False,False
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2540774,KEENAN Ava,5,False,False
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2537882,BOONE Stephen,6,False,False
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534528,KOEHLER Ashley,3,False,True
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535304,BEAULIEU Charles,2,False,True
2025 FIS FREESTYLE SKI NORAM CUP,7 MAR 2025,VAL ST COME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2539395,KOEHLER Bradley,6,False,False
2025 FIS FREESTYLE SKI NORAM CUP,7 MAR 2025,VAL ST COME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538994,HUFF Porter,5,False,False
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534089,MARCELLINI Dylan,1,True,True
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2537322,CAREY Cole,5,False,False
2025 FIS FREESTYLE SKI NORAM CUP,12 FEB 2025,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2539395,KOEHLER Bradley,4,False,False
2025 FIS FREESTYLE SKI NORAM CUP,7 MAR 2025,VAL ST COME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538309,BOUGIE Jean-,3,False,True
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2533613,LINTON Jessica,2,False,True
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538814,MAURAIS Olivia,5,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538430,McLARNON Abby,5,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538248,LAROCHE Florence,1,True,True
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538852,FUGERE Simon,6,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2539395,KOEHLER Bradley,1,True,True
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535616,CHAPDELAINE Reese,4,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538079,COHEN Jiah,5,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538994,HUFF Porter,3,False,True
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534116,CROCKETT Jackson,4,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538150,COOTE Xanthia,6,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534235,MIKKELSEN Maya,2,False,True
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535377,SLETTENE Skylar,3,False,True
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535304,BEAULIEU Charles,2,False,True
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534866,KARIOTIS Kylie,6,False,False
2025 FIS FREESTYLE NORAM CUP,1 MAR 2025,STRATTON MOUNTAIN RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2537580,AYAD Anabel,4,False,False
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534251,HOGG Kasey,1,True,True
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534235,MIKKELSEN Maya,3,False,True
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534866,KARIOTIS Kylie,4,False,False
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534451,GOODISON Samuel,2,False,True
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538994,HUFF Porter,6,False,False
FIS FREESTYLE SKI WORLD CUP 2026,9 JAN 2026,VAL ST. COME (CAN),Men's Moguls,Results Final,2533462,PAGE Nick,3,False,True
FIS FREESTYLE SKI WORLD CUP 2026,9 JAN 2026,VAL ST. COME (CAN),Men's Moguls,Results Final,2532044,MOUILLE Thibaud,9,False,False
FIS FREESTYLE SKI WORLD CUP 2026,9 JAN 2026,VAL ST. COME (CAN),Men's Moguls,Results Final,2531923,STEGFELDT Rasmus,14,False,False
FIS FREESTYLE SKI WORLD CUP 2026,9 JAN 2026,VAL ST. COME (CAN),Men's Moguls,Results Final,2529645,HORISHIMA Ikuma,15,False,False
2024 FIS FREESTYLE NORAM CUP,7 FEB 2024,DEER VALLEY RESORT (USA),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535858,DUBUC Joey,6,False,False
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534251,HOGG Kasey,1,True,True
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535858,DUBUC Joey,5,False,False
2024 FIS FREESTYLE NORAM CUP MOGULS,24 FEB 2024,VAL S TCOME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535304,BEAULIEU Charles,2,False,True
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534235,MIKKELSEN Maya,2,False,True
2024 FIS FREESTYLE NORAM CUP,12 FEB 2024,APEX MOUNTAIN RESORT (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534451,GOODISON Samuel,6,False,False
2024 FIS FREESTYLE NORAM CUP,12 FEB 2024,APEX MOUNTAIN RESORT (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534528,KOEHLER Ashley,3,False,True
2024 FIS FREESTYLE NORAM CUP MOGULS,24 FEB 2024,VAL S TCOME (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2535858,DUBUC Joey,4,False,False
2024 FIS FREESTYLE NORAM CUP MOGULS,24 FEB 2024,VAL S TCOME (CAN),Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534235,MIKKELSEN Maya,2,False,True
FIS FREESTYLE SKI WORLD CUP 2026,9 JAN 2026,VAL ST. COME (CAN),Men's Moguls,Results Final,2534140,WENDLER Landon,8,False,False
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2538248,LAROCHE Florence,6,False,False
2024 FIS FREESTYLE NORAM CUP,12 FEB 2024,APEX MOUNTAIN RESORT (CAN),Men's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2532530,CORDELL Sam,3,False,True
FIS FREESTYLE SKI WORLD CUP 2026,7 DEC 2025,RUKA (FIN),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,4,False,False
2024 FIS FREESTYLE NORAM CUP FINALS,1 MAR 2024,"STRATTON, VT (USA)",Women's Moguls,QUALIFICATION RUN 1 RESULTS Final 2,2534528,KOEHLER Ashley,3,False,True
